Date/Time, Site, Station, Sensor, Value
2017-11-12 16:11:45,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.08
2017-11-12 16:11:49,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.56
2017-11-12 17:11:55,Hull Springs Farm,Dock,Pressure Transducer(corrected),35.96
2017-11-12 17:11:59,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.35
2017-11-12 17:11:03,Hull Springs Farm,Dock,Pressure Transducer(corrected),37.48
2017-11-12 17:11:08,Hull Springs Farm,Dock,Pressure Transducer(corrected),38.27
2017-11-12 17:11:12,Hull Springs Farm,Dock,Pressure Transducer(corrected),39.48
2017-11-12 18:11:22,Hull Springs Farm,Dock,Pressure Transducer(corrected),40.37
2017-11-12 18:11:30,Hull Springs Farm,Dock,Pressure Transducer(corrected),42.91
2017-11-12 18:11:35,Hull Springs Farm,Dock,Pressure Transducer(corrected),43.4
2017-11-12 19:11:44,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.04
2017-11-12 19:11:48,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.59
2017-11-12 20:11:07,Hull Springs Farm,Dock,Pressure Transducer(corrected),48.58
2017-11-12 20:11:11,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.07
2017-11-12 20:11:16,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.33
2017-11-12 20:11:21,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.49
2017-11-12 20:11:25,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.51
2017-11-12 20:11:29,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.74
2017-11-12 21:11:34,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.85
2017-11-12 21:11:39,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.34
2017-11-12 21:11:43,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.57
2017-11-12 22:11:57,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.97
2017-11-12 22:11:01,Hull Springs Farm,Dock,Pressure Transducer(corrected),51.07
2017-11-12 22:11:06,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.27
2017-11-12 22:11:10,Hull Springs Farm,Dock,Pressure Transducer(corrected),50.59
2017-11-12 23:11:20,Hull Springs Farm,Dock,Pressure Transducer(corrected),49.12
2017-11-12 23:11:24,Hull Springs Farm,Dock,Pressure Transducer(corrected),48.7
2017-11-12 23:11:28,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.94
2017-11-12 23:11:33,Hull Springs Farm,Dock,Pressure Transducer(corrected),47.45
2017-11-12 23:11:38,Hull Springs Farm,Dock,Pressure Transducer(corrected),46.43
2017-11-12 23:11:48,Hull Springs Farm,Dock,Pressure Transducer(corrected),45.26
2017-11-13 00:11:47,Hull Springs Farm,Dock,Pressure Transducer(corrected),44.67
2017-11-13 00:11:52,Hull Springs Farm,Dock,Pressure Transducer(corrected),44.04
2017-11-13 00:11:56,Hull Springs Farm,Dock,Pressure Transducer(corrected),43.47
2017-11-13 00:11:01,Hull Springs Farm,Dock,Pressure Transducer(corrected),42.24
2017-11-13 00:11:05,Hull Springs Farm,Dock,Pressure Transducer(corrected),41.64
2017-11-13 01:11:10,Hull Springs Farm,Dock,Pressure Transducer(corrected),41.15
2017-11-13 01:11:14,Hull Springs Farm,Dock,Pressure Transducer(corrected),39.99
2017-11-13 01:11:19,Hull Springs Farm,Dock,Pressure Transducer(corrected),39.24
2017-11-13 01:11:23,Hull Springs Farm,Dock,Pressure Transducer(corrected),38.23
